"Token","Total Balance","Available Balance","BTC worth","EUR worth","In Order"
"ADA","0.00000000","0.00000000","0.00000000","0.00","0.00000000"
"AE","0.00000000","0.00000000","0.00000000","0.00","0.00000000"
"BAT","0.00000000","0.00000000","0.00000000","0.00","0.00000000"
"BCHABC","0.00000000","0.00000000","0.00000000","0.00","0.00000000"
"BTC","0.00000000","0.00000000","0.00000000","0.00","0.00000000"
"BTG","0.00000000","0.00000000","0.00000000","0.00","0.00000000"
"CBNX","0.00000000","0.00000000","0.00000000","0.00","0.00000000"
"CHZ","0.00000000","0.00000000","0.00000000","0.00","0.00000000"
"DASH","0.00000000","0.00000000","0.00000000","0.00","0.00000000"
"EOS","0.00000000","0.00000000","0.00000000","0.00","0.00000000"
"ETH","0.00000000","0.00000000","0.00000000","0.00","0.00000000"
"EUR","0.00","0.00","0.00000000","0.00","0.00"
"EVX","0.00000000","0.00000000","0.00000000","0.00","0.00000000"
"GAS","0.00000000","0.00000000","0.00000000","0.00","0.00000000"
"GNT","0.00000000","0.00000000","0.00000000","0.00","0.00000000"
"HOT","0.00000000","0.00000000","0.00000000","0.00","0.00000000"
"LINK","0.00000000","0.00000000","0.00000000","0.00","0.00000000"
"LTC","0.00000000","0.00000000","0.00000000","0.00","0.00000000"
"MANA","0.00000000","0.00000000","0.00000000","0.00","0.00000000"
"MKR","0.00000000","0.00000000","0.00000000","0.00","0.00000000"
"NEO","0.00000000","0.00000000","0.00000000","0.00","0.00000000"
"NPXS","0.00000000","0.00000000","0.00000000","0.00","0.00000000"
"OMG","0.00000000","0.00000000","0.00000000","0.00","0.00000000"
"PLT","0.00000000","0.00000000","0.00000000","0.00","0.00000000"
"PPT","0.00000000","0.00000000","0.00000000","0.00","0.00000000"
"PURA","0.00000000","0.00000000","0.00000000","0.00","0.00000000"
"REP","0.00000000","0.00000000","0.00000000","0.00","0.00000000"
"RHOC","0.00000000","0.00000000","0.00000000","0.00","0.00000000"
"SALT","0.00000000","0.00000000","0.00000000","0.00","0.00000000"
"SNT","0.00000000","0.00000000","0.00000000","0.00","0.00000000"
"TUSD","0.00000000","0.00000000","0.00000000","0.00","0.00000000"
"USDT","0.00000000","0.00000000","0.00000000","0.00","0.00000000"
"WAVES","0.00000000","0.00000000","0.00000000","0.00","0.00000000"
"WTC","0.00000000","0.00000000","0.00000000","0.00","0.00000000"
"XLM","0.00000000","0.00000000","0.00000000","0.00","0.00000000"
"XRP","0.00000000","0.00000000","0.00000000","0.00","0.00000000"
"ZIL","0.00000000","0.00000000","0.00000000","0.00","0.00000000"
"ZRX","0.00000000","0.00000000","0.00000000","0.00","0.00000000"
