"ADA / BTC","0.00001746","6.85%"
"AE / BTC","0.0001167","0.17%"
"BAT / BTC","0.00006899","19.94%"
"BCHABC / BTC","0.0415057","-0.68%"
"BTG / BTC","0.003163","-0.03%"
"CBNX / BTC","0.00002441","-1.77%"
"DASH / BTC","0.023878","2.42%"
"EOS / BTC","0.0010461","-0.78%"
"ETH / BTC","0.034412","0.16%"
"EVX / BTC","0.00009477","-18.31%"
"GAS / BTC","0.00072","3.3%"
"GNT / BTC","0.00002144","-0.46%"
"HOT / BTC","0.00000028","0%"
"LINK / BTC","0.00012091","-2.16%"
"LTC / BTC","0.014936","-0.88%"
"MANA / BTC","0.00001469","-9.54%"
"MKR / BTC","0.171021","-4.82%"
"NEM / BTC","0.0000123","-0.49%"
"NEO / BTC","0.002367","3.32%"
"NPXS / BTC","0.00000015","0%"
"OMG / BTC","0.000484","11.78%"
"PLT / BTC","0.00051877","0%"
"PPT / BTC","0.0003637","-1.73%"
"PURA / BTC","0.00000090","13.92%"
"REP / BTC","0.003528","-7.01%"
"RHOC / BTC","0.00000545","3.02%"
"SALT / BTC","0.00003922","-1.56%"
"SNT / BTC","0.0000058","0.35%"
"TUSD / BTC","0.00024573","-2.01%"
"WAVES / BTC","0.0006916","-0.42%"
"WTC / BTC","0.00035707","-0.56%"
"XLM / BTC","0.00002631","0.65%"
"XRP / BTC","0.00007524","-0.58%"
"ZIL / BTC","0.00000471","-1.05%"
"ZRX / BTC","0.0000744","1.25%"
