"ADA / CBNX","0.70936789","7.84%"
"AE / CBNX","4.781","1.98%"
"BAT / CBNX","2.8268","22.11%"
"BCHABC / CBNX","1700.12","1.1%"
"BTG / CBNX","129.95","2.07%"
"DASH / CBNX","978.02","4.38%"
"EOS / CBNX","42.888","1.26%"
"ETH / CBNX","1409.64","1.96%"
"EVX / CBNX","9.978125","15.61%"
"GAS / CBNX","29.537","5.23%"
"GNT / CBNX","0.880404","1.44%"
"HOT / CBNX","0.01150368","0.12%"
"LINK / CBNX","4.955571","-0.37%"
"LTC / CBNX","611.88","0.9%"
"MANA / CBNX","0.599372","-8.14%"
"MKR / CBNX","7030","-2.78%"
"NEM / CBNX","10","0%"
"NEO / CBNX","96.956","5.14%"
"NPXS / CBNX","0.00624828","1.23%"
"OMG / CBNX","19.814","13.8%"
"PLT / CBNX","200","0%"
"PPT / CBNX","14.9049","0.08%"
"PURA / CBNX","0.03689044","16.13%"
"REP / CBNX","144.67","-5.26%"
"RHOC / CBNX","0.226605","6.59%"
"SALT / CBNX","1.595389","-0.51%"
"SNT / CBNX","0.23753","2.15%"
"TUSD / CBNX","10.06259","-0.29%"
"WAVES / CBNX","28.3431","1.41%"
"WTC / CBNX","14.6065","1.84%"
"XLM / CBNX","1.078362","2.54%"
"XRP / CBNX","3.081708","1.21%"
"ZIL / CBNX","0.193511","1.06%"
"ZRX / CBNX","3.046139","3.01%"
