"ADA / USDT","0.07157","8.8%"
"AE / USDT","0.4781","1.98%"
"BAT / USDT","0.2825","22.03%"
"BCHABC / USDT","169.97","1.06%"
"BTC / USDT","4090.38","1.75%"
"BTG / USDT","12.98","1.96%"
"CBNX / USDT","0.1","11.11%"
"DASH / USDT","97.84","4.4%"
"EOS / USDT","4.285","0.99%"
"ETH / USDT","141.03","2.02%"
"EVX / USDT","1.020945","15.49%"
"GAS / USDT","2.957","5.34%"
"GNT / USDT","0.0878","1.27%"
"LTC / USDT","61.19","0.89%"
"MANA / USDT","0.0603","-7.8%"
"MKR / USDT","701.69","-2.95%"
"NEM / USDT","0.04892","-2.22%"
"NEO / USDT","9.702","5.2%"
"NPXS / USDT","0.00062783","1.73%"
"OMG / USDT","1.987","14.13%"
"PLT / USDT","2","0%"
"PURA / USDT","0.003676","15.67%"
"REP / USDT","14.4559","-5.33%"
"RHOC / USDT","0.022373","5.2%"
"SALT / USDT","0.1608","0.25%"
"TUSD / USDT","1.0064","-0.29%"
"WAVES / USDT","2.8351","1.43%"
"XLM / USDT","0.10778","2.46%"
"XRP / USDT","0.3102","1.86%"
"ZIL / USDT","0.01927","0.63%"
"ZRX / USDT","0.3048","3.08%"
